match_id,batting_team,bowling_team,batsman,Balls_Played,Total_Runs
236,Deccan Chargers,Pune Warriors,B Chipli,4,5
240,Rajasthan Royals,Mumbai Indians,R Dravid,32,43
249,Chennai Super Kings,Mumbai Indians,M Vijay,18,10
266,Kings XI Punjab,Kolkata Knight Riders,BA Bhatt,2,6
293,Deccan Chargers,Chennai Super Kings,S Dhawan,29,36
3,Rajasthan Royals,Delhi Daredevils,M Kaif,19,9
304,Kolkata Knight Riders,Mumbai Indians,G Gambhir,2,0
309,Chennai Super Kings,Kolkata Knight Riders,MEK Hussey,40,56
332,Kings XI Punjab,Chennai Super Kings,DJ Hussey,36,41
343,Pune Warriors,Sunrisers Hyderabad,SPD Smith,25,17
343,Sunrisers Hyderabad,Pune Warriors,NLTC Perera,4,2
357,Sunrisers Hyderabad,Rajasthan Royals,PA Reddy,5,2
371,Chennai Super Kings,Mumbai Indians,S Badrinath,3,0
390,Sunrisers Hyderabad,Rajasthan Royals,BB Samantray,48,55
397,Mumbai Indians,Rajasthan Royals,R Dhawan,2,4
408,Rajasthan Royals,Chennai Super Kings,R Bhatia,21,23
419,Kolkata Knight Riders,Chennai Super Kings,Shakib Al Hasan,1,0
428,Sunrisers Hyderabad,Rajasthan Royals,KV Sharma,1,0
434,Sunrisers Hyderabad,Mumbai Indians,AJ Finch,62,68
447,Kolkata Knight Riders,Royal Challengers Bangalore,MK Pandey,13,13
451,Chennai Super Kings,Royal Challengers Bangalore,MS Dhoni,28,49
467,Rajasthan Royals,Mumbai Indians,JP Faulkner,6,6
477,Kings XI Punjab,Rajasthan Royals,SE Marsh,45,77
499,Rajasthan Royals,Sunrisers Hyderabad,STR Binny,3,3
508,Kolkata Knight Riders,Mumbai Indians,Shakib Al Hasan,16,23
517,Chennai Super Kings,Mumbai Indians,MM Sharma,7,21
518,Mumbai Indians,Rising Pune Supergiants,JC Buttler,2,0
536,Gujarat Lions,Royal Challengers Bangalore,SK Raina,25,28
556,Royal Challengers Bangalore,Kings XI Punjab,AB de Villiers,35,64
569,Delhi Daredevils,Sunrisers Hyderabad,KK Nair,61,83
73,Kolkata Knight Riders,Mumbai Indians,LR Shukla,10,6
82,Chennai Super Kings,Delhi Daredevils,SK Raina,22,32
9,Rajasthan Royals,Deccan Chargers,M Kaif,16,34
98,Mumbai Indians,Kings XI Punjab,AM Rahane,5,1
103,Mumbai Indians,Chennai Super Kings,AM Nayar,27,33
109,Kolkata Knight Riders,Rajasthan Royals,DJ Hussey,13,9
120,Deccan Chargers,Chennai Super Kings,HH Gibbs,39,45
